===========================================
MEDIDA DE VI V2.9
===========================================

DÍA: 21/11/2024
HORA INICIO: 15:21:37
HORA FINAL: 15:33:30
USUARIO: 
REF.MUESTRA: 
OBSERVACIONES: 
-------------------------------------
CONDICIONES DE MEDIDA:
SELECCIÓN DE SMU VI: HP4154B
TIEMPO DE INTEGRACIÓN VI: IT1 - SHORT
Límite de corriente (A): 1.000000E-2
-------------------------------------
Nº Ciclos de Medida: 1
Cambio de  cada ciclo: IDA
-------------------------------------
Nºmedida	VOLTAJE(volt.)	CORRIENTE(amp.)	IMPEDANCIA(ohm.)	TIEMPO(seg.)	LIMITE_I/V(0/1)

N1	V1	I1	Z1	T1	Lim1	
148.00000E+0	-520.00000E-3	-4.66390E-3	111.49467E+0	0.00000E+0	0.00000E+0
149.00000E+0	-510.00000E-3	-4.66510E-3	109.32242E+0	0.00000E+0	0.00000E+0
150.00000E+0	-500.00000E-3	-4.66350E-3	107.21561E+0	0.00000E+0	0.00000E+0
151.00000E+0	-490.00000E-3	-4.66390E-3	105.06229E+0	0.00000E+0	0.00000E+0
152.00000E+0	-480.00000E-3	-4.66060E-3	102.99103E+0	0.00000E+0	0.00000E+0
153.00000E+0	-470.00000E-3	-4.66160E-3	100.82375E+0	0.00000E+0	0.00000E+0
154.00000E+0	-460.00000E-3	-4.66160E-3	98.67857E+0	0.00000E+0	0.00000E+0
155.00000E+0	-450.00000E-3	-4.65890E-3	96.58932E+0	0.00000E+0	0.00000E+0
156.00000E+0	-440.00000E-3	-4.65890E-3	94.44289E+0	0.00000E+0	0.00000E+0
157.00000E+0	-430.00000E-3	-4.65750E-3	92.32421E+0	0.00000E+0	0.00000E+0
158.00000E+0	-420.00000E-3	-4.65800E-3	90.16745E+0	0.00000E+0	0.00000E+0
159.00000E+0	-410.00000E-3	-4.65560E-3	88.06599E+0	0.00000E+0	0.00000E+0
160.00000E+0	-400.00000E-3	-4.65700E-3	85.89221E+0	0.00000E+0	0.00000E+0
161.00000E+0	-390.00000E-3	-4.65460E-3	83.78808E+0	0.00000E+0	0.00000E+0
162.00000E+0	-380.00000E-3	-4.65390E-3	81.65195E+0	0.00000E+0	0.00000E+0
163.00000E+0	-370.00000E-3	-4.65510E-3	79.48272E+0	0.00000E+0	0.00000E+0
164.00000E+0	-360.00000E-3	-4.65300E-3	77.36944E+0	0.00000E+0	0.00000E+0
165.00000E+0	-350.00000E-3	-4.65390E-3	75.20574E+0	0.00000E+0	0.00000E+0
166.00000E+0	-340.00000E-3	-4.65150E-3	73.09470E+0	0.00000E+0	0.00000E+0
167.00000E+0	-330.00000E-3	-4.65150E-3	70.94486E+0	0.00000E+0	0.00000E+0
168.00000E+0	-320.00000E-3	-4.65060E-3	68.80833E+0	0.00000E+0	0.00000E+0
169.00000E+0	-310.00000E-3	-4.65110E-3	66.65090E+0	0.00000E+0	0.00000E+0
170.00000E+0	-300.00000E-3	-4.65110E-3	64.50087E+0	0.00000E+0	0.00000E+0
171.00000E+0	-290.00000E-3	-4.64800E-3	62.39243E+0	0.00000E+0	0.00000E+0
172.00000E+0	-280.00000E-3	-4.64840E-3	60.23578E+0	0.00000E+0	0.00000E+0
173.00000E+0	-270.00000E-3	-4.64800E-3	58.08950E+0	0.00000E+0	0.00000E+0
174.00000E+0	-260.00000E-3	-4.64750E-3	55.94406E+0	0.00000E+0	0.00000E+0
175.00000E+0	-250.00000E-3	-4.64610E-3	53.80857E+0	0.00000E+0	0.00000E+0
176.00000E+0	-240.00000E-3	-4.64650E-3	51.65178E+0	0.00000E+0	0.00000E+0
177.00000E+0	-230.00000E-3	-4.64560E-3	49.50921E+0	0.00000E+0	0.00000E+0
178.00000E+0	-220.00000E-3	-4.64340E-3	47.37908E+0	0.00000E+0	0.00000E+0
179.00000E+0	-210.00000E-3	-4.64510E-3	45.20893E+0	0.00000E+0	0.00000E+0
180.00000E+0	-200.00000E-3	-4.64340E-3	43.07189E+0	0.00000E+0	0.00000E+0
