C:\Documents and Settings\Potenciostato SP150\Escritorio\Alfonso\DIV_1_01.mpr
Ewe/V vs. SCE	<I>/mA
-0.151665	-0.0540887
-0.153616	-0.0541662
-0.155691	-0.054236
-0.15766	-0.0543178
-0.159687	-0.0543734
-0.161702	-0.0544572
-0.163641	-0.0545298
-0.165703	-0.0546113
-0.167684	-0.0546713
-0.169645	-0.054747
-0.171602	-0.0548251
-0.17362	-0.054871
-0.175626	-0.0549795
-0.177617	-0.0550363
-0.179622	-0.0551023
-0.181635	-0.0551882
-0.18368	-0.0552669
-0.18565	-0.0553396
-0.187673	-0.0553953
-0.189656	-0.0554778
-0.191685	-0.0555474
-0.19367	-0.0556158
-0.195625	-0.0556869
-0.197629	-0.0557559
-0.199605	-0.0558517
-0.201626	-0.0559199
-0.203662	-0.0560184
-0.205629	-0.0560773
-0.20759	-0.0561576
-0.209672	-0.0562294
-0.211666	-0.0563204
-0.213648	-0.0564041
-0.215634	-0.0564698
-0.217624	-0.0565459
-0.219583	-0.0566104
-0.221586	-0.0567011
-0.22357	-0.05677
-0.225585	-0.0568656
-0.227592	-0.0569219
-0.229594	-0.0569906
-0.231675	-0.0570713
-0.233625	-0.0571488
-0.235652	-0.0572455
-0.237655	-0.0573056
-0.239652	-0.0574046
-0.241645	-0.0574806
-0.243648	-0.0575586
-0.245602	-0.0576219
-0.247587	-0.0577118
-0.249656	-0.0577963
-0.251593	-0.0578466
-0.25364	-0.0579614
-0.255621	-0.0580317
-0.257585	-0.0581034
-0.259627	-0.0582025
-0.261649	-0.0582739
-0.263625	-0.0583651
-0.26561	-0.0584346
-0.267682	-0.0585332
-0.269689	-0.0586178
-0.271621	-0.0586946
-0.273641	-0.0587642
-0.275588	-0.0588626
-0.27763	-0.0589547
-0.279643	-0.0590092
-0.281606	-0.0591287
-0.283667	-0.0591952
-0.285659	-0.0592958
-0.287672	-0.0593628
-0.289681	-0.0594483
-0.291648	-0.0595387
-0.293638	-0.0596256
-0.295649	-0.0597074
-0.29764	-0.0597974
-0.299603	-0.0598915
-0.301645	-0.0599555
-0.303601	-0.0600659
-0.305628	-0.0601319
-0.307638	-0.0602252
-0.309623	-0.0603112
-0.311631	-0.0604032
-0.313624	-0.0605065
-0.315626	-0.0605881
-0.317612	-0.0606897
-0.319629	-0.0607768
-0.321558	-0.0608661
-0.323566	-0.0609496
-0.325596	-0.0610734
-0.327559	-0.0611591
-0.329615	-0.0612118
-0.331608	-0.061326
-0.333589	-0.0613821
-0.335627	-0.0614895
-0.33764	-0.0615784
-0.339673	-0.0616942
-0.341635	-0.0617844
-0.343632	-0.061886
-0.345656	-0.0619693
-0.347635	-0.0620719
-0.349578	-0.0621876
-0.35162	-0.0622489
-0.353615	-0.0623462
-0.355607	-0.0624417
-0.357598	-0.0625479
-0.359624	-0.0626419
-0.361632	-0.0627424
-0.363662	-0.0628298
-0.365669	-0.062928
-0.367637	-0.0630349
-0.3697	-0.063121
-0.371629	-0.0632431
-0.373614	-0.06331
-0.375627	-0.0634478
-0.377568	-0.0635304
-0.379622	-0.0636255
-0.381619	-0.0637365
-0.383611	-0.0638183
-0.385642	-0.0639189
-0.387637	-0.0640273
-0.38965	-0.0641109
-0.391691	-0.0642439
-0.393688	-0.0643501
-0.395635	-0.0644332
-0.397685	-0.0645696
-0.3996	-0.0646914
-0.401626	-0.0647763
-0.403626	-0.0648597
-0.405637	-0.0649566
-0.407634	-0.0650907
-0.409611	-0.0651819
-0.411617	-0.0653269
-0.413623	-0.0654094
-0.415668	-0.0655236
-0.417616	-0.0656122
-0.419605	-0.0657283
-0.421631	-0.0658183
-0.423599	-0.0659097
-0.425637	-0.0660589
-0.427673	-0.0661675
-0.429599	-0.0662743
